sentence,decade
"It had got dusk, and the moon looked over the high wall of the court, causing undefined shadows to lurk in the corners of the numerous projecting portions of the building.",1870s
"If he had never esteemed my opinion before, he would have thought highly of me then; and, I dare say, left the house thinking me the best friend and counsellor man ever had.",1870s
"I am disposed to be as content as a queen, and you try to stir me up to restlessness!",1870s
"Linton had slid from his seat on to the hearthstone, and lay writhing in the mere perverseness of an indulged plague of a child, determined to be as grievous and harassing as it can.",1870s
"The grounds of Hartfield were small, but neat and pretty; and the house was modern and well-built.",1870s
"It was to be a whole-length in water-colours, like Mr. John Knightley’s, and was destined, if she could please herself, to hold a very honourable station over the mantelpiece.",1870s
"At that moment I saw the reflection of the visage and features quite distinctly in the dark oblong glass.” “And how were they?” “Fearful and ghastly to me—oh, sir, I never saw a face like it!",1870s
"It is no devil, I assure you; or if it be, it has put on the robes of an angel of light.",1870s
"I have nothing more to shew you, or to say—except that I am now going to throw them both behind the fire, and I wish you to see me do it.” “My poor dear Harriet!",1870s
"His face was fleshy and pallid, touched with colour only at the thick hanging lobes of his ears and at the wide wings of his nose.",1870s
And he dreaded that mind: it revolted him: he shrank forebodingly from the idea of committing Isabella to its keeping.,1870s
The only resource left me was to run to a lattice and warn his intended victim of the fate which awaited him.,1870s
At last the woods rose; the rookery clustered dark; a loud cawing broke the morning stillness.,1870s
"She was wanting to see him again, and especially to see him in company with Mrs. Weston, upon his behaviour to whom her opinion of him was to depend.",1870s
I’ve recovered from my first desire to be killed by him: I’d rather he’d kill himself!,1870s
"Ere long, I became aware that some one was handling me; lifting me up and supporting me in a sitting posture, and that more tenderly than I had ever been raised or upheld before.",1870s
He left her crying on the bed and moaning softly: _“O my God!”_ Going down the stairs his glasses became so dimmed with moisture that he had to take them off and polish them.,1870s
"and unslinging his gun, restrained himself from his Sunday occupations no longer.",1870s
"Poor lad!” he added, with a groan; “he’s witched: I’m sartin on’t.",1870s
"They tramped gayly along, over decaying logs, through tangled underbrush, among solemn monarchs of the forest, hung from their crowns to the ground with a drooping regalia of grape-vines.",1870s
"A mind lively and at ease, can do with seeing nothing, and can see nothing that does not answer.",1870s
He was drawing her into them: he would drown her.,1870s
"They found the sharp new heap they were seeking, and ensconced themselves within the protection of three great elms that grew in a bunch within a few feet of the grave.",1870s
"He looked like some kind of an Indian when he capered round the garden, an old tea-cosy on his head, beating a tin with his fist and yelling: “Ya!",1870s
"The happiness of this most happy day, received its completion, in the animated contemplation of his worth which this comparison produced.",1870s
She seems waiting to be sought; but she will not wait too long: she herself selects a mate.,1870s
It seemed as if every thing united to promise the most interesting consequences.,1870s
And now a drenching rain poured down and the rising hurricane drove it in sheets along the ground.,1870s
He fancied bathing might be good for it—the warm bath—but she says it did him no lasting benefit.,1870s
"Rather red face; tall.” “That’s the man.” “And tell me, Martin.... Is he a good preacher?” “Munno.... It’s not exactly a sermon, you know.",1870s
A ghostly light from the street lamp lay in a long shaft from one window to the door.,1870s
"“Yes: he always has candles brought in at dark, though he is blind.” “Give the tray to me; I will carry it in.” I took it from her hand: she pointed me out the parlour door.",1870s
As the light failed and his memory began to wander he thought her hand touched his.,1870s
"Linton will conjecture how it is, and trouble himself no further about you.” “But may I not write a note to tell him why I cannot come?” she asked, rising to her feet.",1870s
and to see you in such excellent looks!—I would not have missed this meeting for the world.,1870s
"As Harriet described it, there had been an interesting mixture of wounded affection and genuine delicacy in their behaviour.",1870s
"Mrs. Linton, on the third day, unbarred her door, and having finished the water in her pitcher and decanter, desired a renewed supply, and a basin of gruel, for she believed she was dying.",1870s
"A form was near—what form, the pitch-dark night and my enfeebled vision prevented me from distinguishing.",1870s
"I had regained the gallery, and was just shutting the back-door behind me, when an accelerated hum warned me that the ladies were about to issue from their chambers.",1870s
“Do you know what my private and candid opinion is about some of those little jokers?,1870s
"Mr Fogarty, sitting on a small area of the chair, was specially interested.",1870s
He can girn a laugh as well ’s onybody at a raight divil’s jest.,1870s
What a bright spot of colour you have on each cheek!,1870s
"The widow’s servants kept him clean and neat, combed and brushed, and they bedded him nightly in unsympathetic sheets that had not one little spot or stain which he could press to his heart and know for a friend.",1870s
It had just occurred to Mrs. Weston that Mrs. Elton must be asked to begin the ball; that she would expect it; which interfered with all their wishes of giving Emma that distinction.—Emma heard the sad truth with fortitude.,1870s
"I think, Miss Woodhouse, you and I must establish a musical club, and have regular weekly meetings at your house, or ours.",1870s
I desire an explanation: playing and trifling are completely banished out of my mind; and I can’t dance attendance on your affectations now!” “My affectations!” he murmured; “what are they?,1870s
"Ay, dead as the stones on which her brains and blood were scattered.” “Good God!” “You may well say so, ma’am: it was frightful!” He shuddered.",1870s
"“The match must have been got up hastily,” said Diana: “they cannot have known each other long.” “But two months: they met in October at the county ball at S——.",1870s
"He was on the move immediately; but coming back, said, “I am forgetting that I am not acquainted with her.",1870s
"Hareton is gone with some cattle to the Lees, and Zillah and Joseph are off on a journey of pleasure; and, though I’m used to being alone, I’d rather have some interesting company, if I can get it.",1870s
"Cannot you tell her whom I am, eh, Joseph?” “Nor-ne me!",1870s
"On repairing thither, I found a man waiting for me, having the appearance of a gentleman’s servant: he was dressed in deep mourning, and the hat he held in his hand was surrounded with a crape band.",1870s
"She pushed the decanter towards him, saying: “Now, help yourself, Mr Holohan!” And while he was helping himself she said: “Don’t be afraid!",1870s
"I felt my heels and coat-laps peculiar subjects of assault; and parrying off the larger combatants as effectually as I could with the poker, I was constrained to demand, aloud, assistance from some of the household in re-establishing peace.",1870s
"I cannot tell whether Miss Ingram was a genius, but she was self-conscious—remarkably self-conscious indeed.",1870s
"In this room, too, there was a cabinet piano, quite new and of superior tone; also an easel for painting and a pair of globes.",1870s
What is right to be done cannot be done too soon.,1870s
"I reckon we’ll climb down there and have a hunt for that box.” Tom went first, cutting rude steps in the clay hill as he descended.",1870s
"One reason of the distance yet observed between us was, that he was comparatively seldom at home: a large proportion of his time appeared devoted to visiting the sick and poor among the scattered population of his parish.",1870s
"The light was yet there, shining dim but constant through the rain.",1870s
"What did you take there?” “Only a—a—dead cat.” There was a ripple of mirth, which the court checked.",1870s
"you’re a heartless, selfish boy!” “I can’t stay with her,” he answered crossly.",1870s
"“I couldn’t help it—I couldn’t help it,” Potter moaned.",1870s
The bar was full of men and loud with the noise of tongues and glasses.,1870s
"I’ll try.” “You bet I’ll follow him, if it’s dark, Huck.",1870s
"Her father never went beyond the shrubbery, where two divisions of the ground sufficed him for his long walk, or his short, as the year varied; and since Mrs. Weston’s marriage her exercise had been too much confined.",1870s
"He replied audibly enough, in a fashion which made my companion vociferate, more clamorously than before, that a wide distinction might be drawn between saints like himself and sinners like his master.",1870s
"Weston may grow cross from the wantonness of comfort, or his son may plague him.” “I hope not _that_.—It is not likely.",1870s
"But in the afternoon, while Joseph and Hareton were at their work, he came into the kitchen again, and, with a wild look, bid me come and sit in the house: he wanted somebody with him.",1870s
"Next morning—bright and cheerful out of doors—stole softened in through the blinds of the silent room, and suffused the couch and its occupant with a mellow, tender glow.",1870s
"Why had the mere name of this unresisting individual—whom his word now sufficed to control like a child—fallen on him, a few hours since, as a thunderbolt might fall on an oak?",1870s
"I wish you were at the—” commenced my host, setting the candle on a chair, because he found it impossible to hold it steady.",1870s
"But presently it began to flag a trifle, and grow disjointed.",1870s
I wished I had kept my candle burning: the night was drearily dark; my spirits were depressed.,1870s
How I do still abhor—” He ground his teeth and was silent: he arrested his step and struck his boot against the hard ground.,1870s
"Heathcliff stood near the entrance, in his shirt and trousers; with a candle dripping over his fingers, and his face as white as the wall behind him.",1870s
"In the deep shade, at the farther end of the room, a figure ran backwards and forwards.",1870s
"It is a fine thing, reader, to be lifted in a moment from indigence to wealth—a very fine thing; but not a matter one can comprehend, or consequently enjoy, all at once.",1870s
"He had met her before breakfast as he was returning from a walk with his little boys, when it had been just beginning to rain.",1870s
"I was tempted to cease struggling with him—to rush down the torrent of his will into the gulf of his existence, and there lose my own.",1870s
"The men asked him to give his version of it, and he did so with great vivacity for the sight of five small hot whiskies was very exhilarating.",1870s
The porter pointed to the tap of the electric-light and began a muttered apology but Gabriel cut him short.,1870s
"Then he skipped out, and saw Sid just starting up the outside stairway that led to the back rooms on the second floor.",1870s
The latter’s distraction at his bereavement is a subject too painful to be dwelt on; its after-effects showed how deep the sorrow sunk.,1870s
"“Catherine, why are you crying, love?” I asked, approaching and putting my arm over her shoulder.",1870s
It was romantic and mysterious to stand here in the deep gloom and look out upon the green valley shining in the sun.,1870s
"“Yes, she’s dead!” I answered, checking my sobs and drying my cheeks.",1870s
"His face, shining with raindrops, had the appearance of damp yellow cheese save where two rosy spots indicated the cheekbones.",1870s
It was now dark; but a rumbling of wheels was audible.,1870s
"I can detain you both, quite concealed, here.",1870s
"You have shewn that you can dance, and you know we are not really so much brother and sister as to make it at all improper.” “Brother and sister!",1870s
"It was eleven o’clock, and I announced my intention of going in and waiting for him; at which he immediately flung down his tools and accompanied me, in the office of watchdog, not as a substitute for the host.",1870s
"“You are a dog in the manger, Cathy, and desire no one to be loved but yourself!” “You are an impertinent little monkey!” exclaimed Mrs. Linton, in surprise.",1870s
"Gradually the events of the preceding night crept with silent, blood-stained feet into his brain and reconstructed themselves there with terrible distinctness.",1880s
"The news was all over town in two minutes, and you could see the people tearing down on the run from every which way, some of them putting on their coats as they come.",1880s
"The river was coming up pretty fast, and lots of driftwood going by on the rise.",1880s
"I sprang to my feet and as noiselessly as possible began to detach the connections of my apparatus, and to distribute it about the room, so as to destroy the suggestions of its arrangement.",1880s
"People sprang off the pavement: It passed in shouts, it passed by instinct down the hill.",1880s
“Then I’m going to throw flints at you till you think differently.” “But where _are_ yer?” The Voice made no answer.,1880s
In them circumstances it warn’t no trouble to him to throw in an amount of style that was suitable.,1880s
"Sherburn run his eye slow along the crowd; and wherever it struck the people tried a little to out-gaze him, but they couldn’t; they dropped their eyes and looked sneaky.",1880s
There are only two ways by which man can reach it.,1880s
"The light is quite perfect, and you can bring your drinks.” They rose up and sauntered down the walk together.",1880s
"I stayed in the tree till it begun to get dark, afraid to come down.",1880s
"How little you can know of love, if you say it mars your art!",1880s
"“And pray what am I charged with?” “With making away with Mr. Neville St.— Oh, come, you can’t be charged with that unless they make a case of attempted suicide of it,” said the inspector with a grin.",1880s
I run the canoe into a deep dent in the bank that I knowed about; I had to part the willow branches to get in; and when I made fast nobody could a seen the canoe from the outside.,1880s
"Everything was dead quiet, and it looked late, and _smelt_ late.",1880s
So me and the king lit out for the camp-meeting.,1880s
"“I’ll surrender,” cried the stranger, though he had Jaffers down, and in another moment he stood up panting, a strange figure, headless and handless—for he had pulled off his right glove now as well as his left.",1880s
"The muttered conversation ceased abruptly, for a moment silence, then the conversation was resumed, in hissing whispers, then a sharp cry of “No!",1880s
"I cannot, with this thought in my mind, ever again be happy under your roof, and I feel that I must leave you forever.",1880s
I can’t tell you how heart-broken I am about the whole thing.,1880s
I beat it and hacked it considerable a-doing it.,1880s
"I have to call for my husband at the club, to take him to some absurd meeting at Willis’s Rooms, where he is going to be in the chair.",1880s
"And it’s the common way with horses, as any one can see.” CHAPTER IV.",1880s
But the thing that had been sitting at the table was gone.,1880s
Then it began to scramble all over the oval stellated globe of the tiny blossoms.,1880s
"“What can I do for you, Mr. Holmes?” “I called about that beggarman, Boone—the one who was charged with being concerned in the disappearance of Mr. Neville St. Clair, of Lee.” “Yes.",1880s
"Everybody, it seemed, was being hit all at once, and Sandy Wadgers, knowing as ever and his wits sharpened by a frightful blow in the nose, reopened the door and led the rout.",1880s
"What will he say when he returns?” “He must guard himself, for he may find that there is someone more cunning than himself upon his track.",1880s
"“Dorian, Dorian,” she cried, “before I knew you, acting was the one reality of my life.",1880s
"I made off up the roadway to Bloomsbury Square, intending to strike north past the Museum and so get into the quiet district.",1880s
"Niggers is always talking about witches in the dark by the kitchen fire; but whenever one was talking and letting on to know all about such things, Jim would happen in and say, “Hm!",1880s
"You been up to something you no business to, and I lay I’ll find out what it is before _I’m_ done with you.” So she went away as I opened the door and walked into the setting-room.",1880s
"I travelled in my youth, took to the stage, and finally became a reporter on an evening paper in London.",1880s
"What a queen she would have made!” He relapsed into a moody silence, which was not broken until we drew up in Serpentine Avenue.",1880s
"And so, shivering, scared, and sniffing with the first intimations of a cold, and with the bruises in the small of my back growing upon my attention, I drove slowly along Oxford Street and past Tottenham Court Road.",1880s
"I know better, I counted ’m myself.” “Well, I’ve counted them twice, Aunty, and _I_ can’t make but nine.” She looked out of all patience, but of course she come to count—anybody would.",1880s
"You can’t grumble if your breakfast waits a bit, if my bill’s been waiting these five days, can you?” The stranger swore briefly but vividly.",1880s
"Holmes dashed into the crowd to protect the lady; but, just as he reached her, he gave a cry and dropped to the ground, with the blood running freely down his face.",1880s
"The racket stopped, and the wave sucked back.",1880s
"The king got the directions, and allowed he’d go and work that camp-meeting for all it was worth, and I might go, too.",1880s
I can assure you that it has nothing to do with the sad tragedy which followed.,1880s
"It seemed like he was just born for it; and when he had his hand in and was excited, it was perfectly lovely the way he would rip and tear and rair up behind when he was getting it off.",1880s
"I hope that you have done what I asked you, Jones?” “I have an inspector and two officers waiting at the front door.” “Then we have stopped all the holes.",1880s
"He and a girl of fourteen, who does a bit of simple cooking and keeps the place clean—that’s all I have in the house, for I am a widower and never had any family.",1880s
"“Basil,” said the lad, going over to him and putting his hand on his shoulder, “you have come too late.",1880s
This is because the powdering multiplies the surfaces of the glass at which refraction and reflection occur.,1880s
The water was three or four foot deep on the island in the low places and on the Illinois bottom.,1880s
"Some of the blows of my cane came home and roused its snakish temper, so that it flew upon the first person it saw.",1880s
"I knew that I had come face to face with some one whose mere personality was so fascinating that, if I allowed it to do so, it would absorb my whole nature, my whole soul, my very art itself.",1880s
"We are who we say we are; and in a day or two, when I get the baggage, I can prove it.",1880s
"You know me too well to think that I am boasting when I say that I shall either confirm or destroy his theory by means which he is quite incapable of employing, or even of understanding.",1880s
"No whooping-cough did rack his frame, Nor measles drear with spots; Not these impaired the sacred name Of Stephen Dowling Bots.",1880s
"When Lord Henry entered the room, he found his uncle sitting in a rough shooting-coat, smoking a cheroot and grumbling over _The Times_.",1880s
"“As it is, they’ve made things a thousand times more difficult.” “No doubt it’s exasperating,” said Kemp, drily.",1880s
"Yes: you led them there, and yet you can smile, as you are smiling now.",1880s
"of France, his horse was loaded with gold leaves, according to Brantome, and his cap had double rows of rubies that threw out a great light.",1880s
"It must, then, be something out of the house.",1880s
Poor dreadful Mr. Isaacs will be shouting ‘genius’ to his loafers at the bar.,1880s
"“Look at the clock?” he said, staring round in a drowsy manner, and speaking over his hand, and then, getting more fully awake, “certainly.” Mrs. Hall went away to get a lamp, and he rose and stretched himself.",1880s
"Well, I can tell you it made me all over trembly and feverish, too, to hear him, because I begun to get it through my head that he _was_ most free—and who was to blame for it?",1880s
"The way things was scattered about we reckoned the people left in a hurry, and warn’t fixed so as to carry off most of their stuff.",1880s
I swore I would kill you in return.,1880s
"And on the table under the window where the stranger had been wont to work, Cuss had hit almost at once on three big books in manuscript labelled “Diary.” “Diary!” said Cuss, putting the three books on the table.",1880s
"Then the infernal little brute started going all over the house, revolver in hand and locking door after door and pocketing the keys.",1880s
He carried a mahogany cane with a silver head to it.,1880s
"no, you don’t!” There came a sudden motion and the oversetting of a chair, a brief struggle.",1880s
"Everybody that seen the shooting was telling how it happened, and there was a big crowd packed around each one of these fellows, stretching their necks and listening.",1880s
"This man strikes even deeper, but I think, Watson, that we shall be able to strike deeper still.",1880s
Let us kneel down and try if we cannot remember a prayer.,1880s
"From under this great panoply she peeped up in a nervous, hesitating fashion at our windows, while her body oscillated backward and forward, and her fingers fidgeted with her glove buttons.",1880s
Look at that shirt—every last inch of it kivered over with secret African writ’n done with blood!,1880s
She had written in a hurry and dipped her pen too deep.,1880s
"His grandfather was a royal duke, and he himself has been to Eton and Oxford.",1880s
"There was not a soul to be found in the house, search as they would.",1880s
"“Dorian,” said Lord Henry, “I had better tell them that the shooting is stopped for to-day.",1880s
‘When are you going to publish this work of yours?’ was his everlasting question.,1880s
"When he reached home, he found his servant waiting up for him.",1880s
"After about ten minutes a knock came to the door, and the servant entered, carrying a large mahogany chest of chemicals, with a long coil of steel and platinum wire and two rather curiously shaped iron clamps.",1880s
"Everybody goes away when I want them to help me tow the raft ashore, and I can’t do it by myself.” “Well, that’s infernal mean.",1880s
"Speaking very slowly, he told him to tell the house-keeper that he wanted to see her, and then to go to the frame-maker and ask him to send two of his men round at once.",1880s
The rotting of a corpse in a watery grave was not so fearful.,1880s
"Out of one window I can see the garden, those mysterious deep-shaded arbors, the riotous old-fashioned flowers, and bushes and gnarly trees.",1880s
They can sit at their ease and gape at the play.,1880s
"And then presently, far up the hill, a dog playing in the road yelped and ran under a gate, and as they still wondered something—a wind—a pad, pad, pad,—a sound like a panting breathing, rushed by.",1880s
"What _has_ become of that boy?” I see my chance; so I skips up and says: “I’ll run right up to town and get him,” I says.",1880s
"a murderous attack?” “Very murderous indeed.” “You horrify me.” I sponged the wound, cleaned it, dressed it, and finally covered it over with cotton wadding and carbolised bandages.",1880s
"I found my father expiring upon the ground, with his head terribly injured.",1880s
I remember the shock I had when striking a light—there were just the round eyes shining green—and nothing round them.,1880s
He felt that if he brooded on what he had gone through he would sicken or grow mad.,1880s
"“Really, some one should interfere.” “I am told, on excellent authority, that her father keeps an American dry-goods store,” said Sir Thomas Burdon, looking supercilious.",1880s
"“No doubt you are a bit difficult to see in this light, but I got a warrant and it’s all correct.",1880s
"For it was an unjust mirror, this mirror of his soul that he was looking at.",1880s
"Insensibly one begins to twist facts to suit theories, instead of theories to suit facts.",1880s
"Pap always said, take a chicken when you get a chance, because if you don’t want him yourself you can easy find somebody that does, and a good deed ain’t ever forgot.",1880s
"“Over the other side, my man,” said Mr. Bunting.",1880s
"There was freckled places on the ground where the light sifted down through the leaves, and the freckled places swapped about a little, showing there was a little breeze up there.",1880s
"“I’m very sorry if he’s after you, but you can’t come in!” Kemp appeared with a face of terror close to the glass, rapping and then shaking frantically at the French window.",1880s
"Did you remark the postmarks of those letters?” “The first was from Pondicherry, the second from Dundee, and the third from London.” “From East London.",1880s
"I remember the funeral, the cheap hearse, the scant ceremony, the windy frost-bitten hillside, and the old college friend of his who read the service over him—a shabby, black, bent old man with a snivelling cold.",1880s
"Well, I warn’t long loosing the whoops down amongst the tow-heads; and I only tried to chase them a little while, anyway, because it was worse than chasing a Jack-o’-lantern.",1880s
"At the sight he stopped, gaping, then with the bottle still in his hand went upstairs again.",1880s
In the garden-scene it had all the tremulous ecstasy that one hears just before dawn when nightingales are singing.,1880s
"In another moment the window was open, and the housemaid was struggling out; she pitched forward and vanished among the shrubs.",1880s
"To think it should rise up against me now!” “Just a drop more, Janny,” said Hall.",1880s
"The fog was lighter here, and he could see the strange, bottle-shaped kilns with their orange, fanlike tongues of fire.",1880s
"When the inspector and a constable entered the house, Arthur, who had stood sullenly with his arms folded, asked me whether it was my intention to charge him with theft.",1880s
"There he was, sitting with a newly opened envelope in one hand and five dried orange pips in the outstretched palm of the other one.",1880s
"A sigh of relief broke from his parched lips, and the colour came back to his cheeks.",1880s
"It might or might not bite the occupant, perhaps she might escape every night for a week, but sooner or later she must fall a victim.",1880s
"Tom he went to the soap-kettle and searched around, and fetched back the iron thing they lift the lid with; so he took it and prized out one of the staples.",1880s
"In the sheet of glass there are only two surfaces; in the powder the light is reflected or refracted by each grain it passes through, and very little gets right through the powder.",1880s
“He’ll kill me—he’s got a knife or something.,1880s
"Are you disengaged Tuesday?” “For you I would throw over anybody, Duchess,” said Lord Henry with a bow.",1880s
"Because, while I was painting it, Dorian Gray sat beside me.",1880s
"If it neither reflects nor refracts nor absorbs light, it cannot of itself be visible.",1880s
Modern morality consists in accepting the standard of one’s age.,1880s
"The lens discloses a large number of hair-ends, clean cut by the scissors of the barber.",1880s
I cannot understand how any one can wish to shame the thing he loves.,1880s
"And, above all, take care of yourself in the meanwhile, for I do not think that there can be a doubt that you are threatened by a very real and imminent danger.",1880s
Then I made inquiries as to this mysterious assistant and found that I had to deal with one of the coolest and most daring criminals in London.,1880s
"I could put my arm—” He extended his hand; it seemed to meet something in mid-air, and he drew it back with a sharp exclamation.",1880s
"“Good-_ness_ gracious!” she says, “what in the warld can have become of him?” “I can’t imagine,” says the old gentleman; “and I must say it makes me dreadful uneasy.” “Uneasy!” she says; “I’m ready to go distracted!",1880s
"I knew my man, however, and I clapped a pistol to his head before he could strike.",1880s
"I feel better now, and I will put the facts before you as shortly and yet as clearly as I can.",1880s
“The first good town we come to we’ll hire a hall and do the sword fight in Richard III.,1880s
"He jumped up yelling, and the first thing the light showed was the varmint curled up and ready for another spring.",1880s
"“Run her nose in shore,” says the king.",1880s
"Uncle Silas he says: “It’s most uncommon curious, I can’t understand it.",1880s
Why is it that so many gentlemen in London will neither go to your house or invite you to theirs?,1880s
"I couldn’t hardly get my words out, I was so anxious; but I told Tom as quick as I could we must jump for it now, and not a minute to lose—the house full of men, yonder, with guns!",1880s
I dare say he fell into the Seine off an omnibus and that the conductor hushed up the scandal.,1880s
What can I do?” Sherlock Holmes sat down beside him on the couch and patted him kindly on the shoulder.,1880s
"Here, one should never make one’s _début_ with a scandal.",1880s
Now I want to ast you: what’s de use er dat half a bill?—can’t buy noth’n wid it.,1880s
"On the other hand, he had no means of supporting himself, and his father, who was by all accounts a very hard man, would have thrown him over utterly had he known the truth.",1880s
With him we drove to the Hereford Arms where a room had already been engaged for us.,1880s
"“Dorian,” he said, “my letter—don’t be frightened—was to tell you that Sibyl Vane is dead.” A cry of pain broke from the lad’s lips, and he leaped to his feet, tearing his hands away from Lord Henry’s grasp.",1880s
"I was ten miles or so from Eyford, that was all I knew, but whether north, south, east, or west I had no idea.",1880s
"Oh, let us lose not an instant in bringing help to this poor creature.” “We must be circumspect, for we are dealing with a very cunning man.",1880s
"At any rate, he turned with his burden, went back to the hall, put down the syphon and whiskey, and bending down, touched the spot.",1880s
“He should have a pot of money waiting for him if Kelso did the right thing by him.,1880s
"They are as tall as a tree and as big around as a church.” “Well,” I says, “s’pose we got some genies to help _us_—can’t we lick the other crowd then?” “How you going to get them?” “I don’t know.",1880s
"I wish I could believe that he had come to such a really romantic end as you suggest, but I can’t.",1880s
They can’t bile that amount of water away off there at the sea.,1880s
"It used to remind me of those curious lines in some play—Hamlet, I think—how do they run?— “Like the painting of a sorrow, A face without a heart.” Yes: that is what it was like.” Lord Henry laughed.",1880s
A man cannot be too careful in the choice of his enemies.,1880s
"Oliver, my professor, was a scientific bounder, a journalist by instinct, a thief of ideas—he was always prying!",1880s
"As one read them, one seemed to be floating down the green water-ways of the pink and pearl city, seated in a black gondola with silver prow and trailing curtains.",1880s
If I can lay my hands on him!” “Best plan to get the books out of him first.” “But where is he?,1880s
"Then he stepped into the cab, and in half an hour we were back in the sitting-room at Baker Street.",1880s
"No, there warn’t no real scarcity of snakes about the house for a considerable spell.",1880s
"Two hours passed slowly away, and then, suddenly, just at the stroke of eleven, a single bright light shone out right in front of us.",1880s
I felt so lonesome I most wished I was dead.,1880s
"If it did not absorb any particular part of the light, but reflected it all, then it would be a shining white box.",1880s
"Holmes left us standing at the door and walked slowly all round the house, across the front, down the tradesmen’s path, and so round by the garden behind into the stable lane.",1880s
"There is one marked peculiarity about this paper, a thing nobody seems to notice but myself, and that is that it changes as the light changes.",1880s
"I passed along the tradesmen’s path, but found it all trampled down and indistinguishable.",1880s
"The third night the house was crammed again—and they warn’t new-comers this time, but people that was at the show the other two nights.",1880s
"All I have with me is in this bag, and I can easily get to Victoria in twenty minutes.” Dorian looked at him and smiled.",1880s
"I tell you, Adye, he is a danger, a disaster; unless he is pinned and secured, it is frightful to think of the things that may happen.” “What else can we do?” said Adye.",1880s
"“Alan Campbell, 152, Hertford Street, Mayfair.” Yes; that was the man he wanted.",1880s
Dorian lit a cigarette and walked over to the glass and glanced into it.,1880s
"There were meetings, and an engagement, which would finally secure the girl’s affections from turning towards anyone else.",1880s
"So when he sees me getting the canoe ready, he says: “Well, then, if you’re bound to go, I’ll tell you the way to do when you get to the village.",1880s
"In the wild struggle for existence, we want to have something that endures, and so we fill our minds with rubbish and facts, in the silly hope of keeping our place.",1880s
"“You villain!” said he, “where’s your daughter?” The fat man cast his eyes round, and then up at the open skylight.",1880s
Slow Navigation.—Borrowing Things.—Boarding the Wreck.—The Plotters.—Hunting for the Boat.,1880s
"They flaunt their conjugal felicity in one’s face, as if it were the most fascinating of sins.",1880s
Your recent services to one of the royal houses of Europe have shown that you are one who may safely be trusted with matters which are of an importance which can hardly be exaggerated.,1880s
"I fainted dead away, and I was very sick for months after.",1880s
"Well, it was a good long job, but I was getting towards the end of it when I heard pap’s gun in the woods.",1880s
"Hobson and Dr. Robinson was down to the end of the town a-hunting together—that is, I mean the doctor was shipping a sick man to t’other world, and the preacher was pinting him right.",1880s
"We have in our police reports realism pushed to its extreme limits, and yet the result is, it must be confessed, neither fascinating nor artistic.” “A certain selection and discretion must be used in producing a realistic effect,” remarked Holmes.",1880s
"He made a vain clutch at a slippery limb, tried to struggle up and fell back.",1880s
Mr. Marvel’s face assumed a greyish tint between the ruddier patches.,1880s
"I’m for killin’ him—and didn’t he kill old Hatfield jist the same way—and don’t he deserve it?” “But I don’t _want_ him killed, and I’ve got my reasons for it.” “Bless yo’ heart for them words, Jake Packard!",1880s
Suppose he wants to rob—who can prevent him?,1880s
"She run off in de night some time—nobody don’t know jis’ when; run off to get married to dat young Harney Shepherdson, you know—leastways, so dey ’spec.",1880s
"6_d_., glass sherry, 8_d_.’ I see nothing in that.” “Very likely not.",1880s
"There warn’t nothing to do now but to look out sharp for the town, and not pass it without seeing it.",1880s
We can forgive a man for making a useful thing as long as he does not admire it.,1880s
Nobody can read my hand but my brother there—so he copies for me.,1880s
"It got darker and darker, and it was a beautiful time to give the crowd the slip; but that big husky had me by the wrist—Hines—and a body might as well try to give Goliar the slip.",1880s
Dorian Gray hurried along the quay through the drizzling rain.,1880s
"Becher’s.” “Tell me,” broke in the engineer, “is Dr. Becher a German, very thin, with a long, sharp nose?” The station-master laughed heartily.",1880s
"I think that would be a rather nice excuse: it would have all the surprise of candour.” “It is such a bore putting on one’s dress-clothes,” muttered Hallward.",1880s
I followed the men to see what they was going to do with Jim; and the old doctor and Uncle Silas followed after Tom into the house.,1880s
"But if the white powdered glass is put into water, it forthwith vanishes.",1880s
"Of course I might have fled from the house, but my curiosity was almost as strong as my fears.",1880s
"Whether it was the realism of the method, or the mere wonder of your own personality, thus directly presented to me without mist or veil, I cannot tell.",1880s
"“As I grew richer I grew more ambitious, took a house in the country, and eventually married, without anyone having a suspicion as to my real occupation.",1880s
Mrs. Hall was left almost in a fainting condition in Mr. Hall’s arms on the landing.,1880s
"Nowadays a broken heart will run to many editions.” “I hate them for it,” cried Hallward.",1880s
"All through April and May he coveted an opportunity of talking to the stranger, and at last, towards Whitsuntide, he could stand it no longer, but hit upon the subscription-list for a village nurse as an excuse.",1880s
He has found an axe—” Suddenly the house was full of the Invisible Man’s resounding blows on the kitchen door.,1880s
I shall certainly do as you advise.” “Do not lose an instant.,1880s
The man turned round and went rapidly in the direction of the house.,1880s
"“There is no possible getting out of it, Mr. Windibank.",1880s
"This is my intimate friend and associate, Dr. Watson, before whom you can speak as freely as before myself.",1880s
"She had engaged a sitting-room, and our lunch awaited us upon the table.",1880s
Affirmation and obstinacy are express signs of want of wit.,1890s
"""I guess you won't go back,"" cried Katy, patting every available spot on Mary, or making dashes at her own eyes to stop the flow of tears.",1890s
"The dark earth of the banks peeping from under overhanging ice and snow, looked like the entrance to deep mysterious caves.",1890s
“Yes--it is the only way.” Then aloud he said abruptly: “You are an American?” “Yes.” “A patriotic one?” The girl flushed.,1890s
